epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1160.19,1.25793,2.01368,1.25993,0.53309,0.36638,0.37204,0.24944,1.27431,1.57384,1.24688,0.00333288,0.00333288,0.00333288
2,2034.49,1.37593,1.88416,1.35014,0.51179,0.35804,0.36699,0.24665,1.2845,1.5853,1.27233,0.00600625,0.00600625,0.00600625
3,2900.19,1.46677,2.06862,1.42414,0.50984,0.33693,0.34915,0.23414,1.30255,1.63277,1.29838,0.00801963,0.00801963,0.00801963
4,3866.77,1.4669,2.05489,1.43155,0.51783,0.35295,0.36648,0.24904,1.27476,1.57263,1.28143,0.00703,0.00703,0.00703
5,4750.59,1.40415,1.8903,1.38505,0.55863,0.36865,0.39098,0.26696,1.25098,1.50424,1.26285,0.00604,0.00604,0.00604
6,5612.76,1.35808,1.77521,1.35198,0.55287,0.38472,0.40597,0.27907,1.23331,1.46338,1.2487,0.00505,0.00505,0.00505
7,6474.55,1.32254,1.68969,1.32451,0.56561,0.38583,0.41531,0.28599,1.22101,1.43714,1.23977,0.00406,0.00406,0.00406
8,7352.32,1.28919,1.60884,1.30074,0.56478,0.39646,0.42217,0.29204,1.21282,1.41746,1.23287,0.00307,0.00307,0.00307
9,8213.95,1.25766,1.53299,1.27777,0.56931,0.40079,0.42693,0.29593,1.20564,1.40194,1.22702,0.00208,0.00208,0.00208
10,9082.57,1.22645,1.45663,1.25589,0.56861,0.40521,0.43197,0.29997,1.20001,1.38801,1.222,0.00109,0.00109,0.00109
